id,nom,prenom,email,telephone,pays,naissance,email_clean,pays_clean,telephone_clean,naissance_clean
16759,Durand,Sarah,,,ch,1955-06-26,,Suisse,,1955-06-26
16987,Dupont,Jeanne,,,be,1955-05-07,,Belgique,,1955-05-07
17005,Bernard,Marie,,,be,1955-06-23,,Belgique,,1955-06-23
17167,Durand,Marie,,,fr,1955-05-06,,France,,1955-05-06
17171,Moreau,Jean,,,France,1955-06-01,,France,,1955-06-01
17484,Moreau,Jean,,,FR,1955-05-26,,France,,1955-05-26
17601,Martin,Louis,,,france,1955-05-25,,France,,1955-05-25
17656,Robert,Louis,,,fr,1955-06-29,,France,,1955-06-29
17657,Petit,Nadia,,,FR,1955-06-19,,France,,1955-06-19
17798,Durand,Jean,,,france,1955-06-28,,France,,1955-06-28
17848,Durand,Jeanne,,,be,1955-05-10,,Belgique,,1955-05-10
17983,Robert,Jean,,,FR,1955-05-27,,France,,1955-05-27
18273,Dupont,Marie,,,ch,1955-06-22,,Suisse,,1955-06-22
18451,Robert,Luc,,,FR,1955-05-17,,France,,1955-05-17
18536,Bernard,Louis,,,ch,1955-05-26,,Suisse,,1955-05-26
18542,Dupont,Sarah,,,fr,1955-05-12,,France,,1955-05-12
18556,Dupont,Jeanne,,,FR,1955-06-20,,France,,1955-06-20
18869,Robert,Paul,,,ch,1955-06-08,,Suisse,,1955-06-08
18902,Robert,Luc,,,France,1955-05-20,,France,,1955-05-20
19073,Petit,Jean,,,FR,1955-06-14,,France,,1955-06-14
19264,Robert,Marie,,,ch,1955-06-18,,Suisse,,1955-06-18
19361,Petit,Luc,,,ch,1955-06-18,,Suisse,,1955-06-18
19648,Petit,Jeanne,,,France,1955-05-29,,France,,1955-05-29
19731,Robert,Marie,,,be,1955-06-19,,Belgique,,1955-06-19
20023,Dupont,Louis,,,ch,1955-06-30,,Suisse,,1955-06-30
20370,Dupont,Paul,,,FR,1955-05-26,,France,,1955-05-26
20392,Robert,Nadia,,,France,1955-06-29,,France,,1955-06-29
20770,Bernard,Paul,,,France,1955-06-27,,France,,1955-06-27
20898,Dupont,Sarah,,,ch,1955-05-29,,Suisse,,1955-05-29
20942,Martin,Jeanne,,,france,1955-05-10,,France,,1955-05-10
21070,Martin,Jeanne,,,ch,1955-05-19,,Suisse,,1955-05-19
21337,Dupont,Jean,,,france,1955-06-29,,France,,1955-06-29
21418,Moreau,Jean,,,france,1955-07-01,,France,,1955-07-01
21639,Moreau,Sarah,,,fr,1955-06-14,,France,,1955-06-14
21784,Martin,Louis,,,be,1955-05-13,,Belgique,,1955-05-13
21918,Petit,Marie,,,fr,1955-05-11,,France,,1955-05-11
22282,Durand,Sarah,,,ch,1955-06-21,,Suisse,,1955-06-21
22431,Robert,Jean,,,france,1955-05-23,,France,,1955-05-23
22442,Durand,Sarah,,,FR,1955-05-17,,France,,1955-05-17
22577,Robert,Jeanne,,,be,1955-07-02,,Belgique,,1955-07-02
22614,Martin,Nadia,,,be,1955-06-07,,Belgique,,1955-06-07
22668,Durand,Jean,,,france,1955-05-30,,France,,1955-05-30
22716,Robert,Luc,,,France,1955-06-07,,France,,1955-06-07
22845,Petit,Sarah,,,be,1955-06-03,,Belgique,,1955-06-03
23450,Dupont,Paul,,,France,1955-06-24,,France,,1955-06-24
23654,Petit,Louis,,,FR,1955-05-26,,France,,1955-05-26
23921,Dupont,Paul,,,France,1955-06-29,,France,,1955-06-29
24134,Martin,Louis,,,France,1955-06-26,,France,,1955-06-26
24256,Moreau,Paul,,,fr,1955-06-29,,France,,1955-06-29
24571,Martin,Sarah,,,ch,1955-05-21,,Suisse,,1955-05-21
24968,Bernard,Jeanne,,,be,1955-05-06,,Belgique,,1955-05-06
25061,Robert,Jeanne,,,FR,1955-07-02,,France,,1955-07-02
25128,Robert,Paul,,,France,1955-05-20,,France,,1955-05-20
25386,Robert,Luc,,,france,1955-05-15,,France,,1955-05-15
25777,Robert,Paul,,,France,1955-05-29,,France,,1955-05-29
26183,Petit,Jeanne,,,france,1955-05-28,,France,,1955-05-28
26413,Robert,Paul,,,ch,1955-05-24,,Suisse,,1955-05-24
26821,Robert,Sarah,,,france,1955-06-25,,France,,1955-06-25
26920,Petit,Jean,,,FR,1955-06-28,,France,,1955-06-28
26936,Bernard,Nadia,,,ch,1955-06-23,,Suisse,,1955-06-23
27003,Moreau,Paul,,,ch,1955-05-28,,Suisse,,1955-05-28
27024,Durand,Nadia,,,FR,1955-05-07,,France,,1955-05-07
27046,Petit,Jeanne,,,france,1955-06-27,,France,,1955-06-27
27129,Durand,Jeanne,,,ch,1955-05-16,,Suisse,,1955-05-16
27326,Robert,Jean,,,france,1955-05-08,,France,,1955-05-08
27609,Moreau,Sarah,,,be,1955-06-21,,Belgique,,1955-06-21
27856,Durand,Marie,,,ch,1955-05-13,,Suisse,,1955-05-13
27940,Bernard,Jeanne,,,France,1955-06-02,,France,,1955-06-02
27979,Moreau,Marie,,,fr,1955-06-15,,France,,1955-06-15
28814,Durand,Luc,,,France,1955-06-21,,France,,1955-06-21
28941,Martin,Marie,,,FR,1955-05-26,,France,,1955-05-26
28994,Robert,Luc,,,france,1955-06-17,,France,,1955-06-17
29798,Dupont,Marie,,,ch,1955-05-09,,Suisse,,1955-05-09
29932,Bernard,Jean,,,FR,1955-05-14,,France,,1955-05-14
30028,Bernard,Marie,,,be,1955-06-21,,Belgique,,1955-06-21
30165,Robert,Jean,,,France,1955-06-11,,France,,1955-06-11
30292,Dupont,Luc,,,france,1955-06-05,,France,,1955-06-05
30295,Durand,Marie,,,ch,1955-06-28,,Suisse,,1955-06-28
30332,Martin,Jeanne,,,ch,1955-06-28,,Suisse,,1955-06-28
30652,Durand,Marie,,,FR,1955-05-07,,France,,1955-05-07
30900,Martin,Nadia,,,ch,1955-06-17,,Suisse,,1955-06-17
31014,Robert,Marie,,,fr,1955-06-21,,France,,1955-06-21
31061,Martin,Jean,,,ch,1955-06-27,,Suisse,,1955-06-27
31249,Martin,Paul,,,FR,1955-05-20,,France,,1955-05-20
31494,Petit,Jean,,,France,1955-06-08,,France,,1955-06-08
31553,Martin,Marie,,,france,1955-07-02,,France,,1955-07-02
31773,Petit,Luc,,,ch,1955-05-24,,Suisse,,1955-05-24
31862,Moreau,Jean,,,be,1955-06-19,,Belgique,,1955-06-19
32036,Moreau,Marie,,,FR,1955-05-19,,France,,1955-05-19
32216,Moreau,Jean,,,be,1955-06-28,,Belgique,,1955-06-28
32242,Durand,Marie,,,ch,1955-05-05,,Suisse,,1955-05-05
32580,Petit,Jean,,,fr,1955-05-11,,France,,1955-05-11
32626,Robert,Louis,,,FR,1955-06-19,,France,,1955-06-19
32690,Moreau,Jean,,,FR,1955-06-08,,France,,1955-06-08
32742,Durand,Nadia,,,FR,1955-05-30,,France,,1955-05-30
32939,Robert,Nadia,,,france,1955-06-04,,France,,1955-06-04
33114,Martin,Paul,,,fr,1955-06-14,,France,,1955-06-14
33254,Martin,Jeanne,,,fr,1955-06-18,,France,,1955-06-18
33346,Dupont,Louis,,,be,1955-05-08,,Belgique,,1955-05-08
33431,Petit,Jeanne,,,France,1955-06-20,,France,,1955-06-20
33859,Petit,Nadia,,,france,1955-05-29,,France,,1955-05-29
33898,Martin,Jean,,,FR,1955-06-27,,France,,1955-06-27
34051,Bernard,Marie,,,FR,1955-05-27,,France,,1955-05-27
34107,Martin,Jeanne,,,france,1955-06-01,,France,,1955-06-01
34192,Bernard,Luc,,,ch,1955-05-20,,Suisse,,1955-05-20
34226,Dupont,Louis,,,France,1955-06-07,,France,,1955-06-07
34508,Martin,Nadia,,,france,1955-07-02,,France,,1955-07-02
36012,Bernard,Jean,,,ch,1955-05-22,,Suisse,,1955-05-22
36030,Dupont,Sarah,,,ch,1955-05-30,,Suisse,,1955-05-30
36615,Martin,Sarah,,,be,1955-06-02,,Belgique,,1955-06-02
36667,Martin,Luc,,,france,1955-06-16,,France,,1955-06-16
37121,Petit,Jean,,,france,1955-06-07,,France,,1955-06-07
37194,Martin,Paul,,,france,1955-05-05,,France,,1955-05-05
37205,Martin,Nadia,,,France,1955-05-12,,France,,1955-05-12
37288,Durand,Nadia,,,fr,1955-06-29,,France,,1955-06-29
37683,Robert,Jean,,,ch,1955-05-19,,Suisse,,1955-05-19
37874,Dupont,Jeanne,,,France,1955-06-20,,France,,1955-06-20
38245,Martin,Luc,,,france,1955-05-05,,France,,1955-05-05
38285,Durand,Sarah,,,ch,1955-06-12,,Suisse,,1955-06-12
38648,Durand,Sarah,,,FR,1955-06-03,,France,,1955-06-03
38968,Robert,Jeanne,,,fr,1955-05-11,,France,,1955-05-11
39196,Martin,Marie,,,FR,1955-06-22,,France,,1955-06-22
40140,Dupont,Jeanne,,,FR,1955-07-03,,France,,1955-07-03
40262,Durand,Jeanne,,,france,1955-06-12,,France,,1955-06-12
40612,Moreau,Louis,,,france,1955-06-30,,France,,1955-06-30
41305,Moreau,Luc,,,fr,1955-06-25,,France,,1955-06-25
41373,Dupont,Nadia,,,fr,1955-06-03,,France,,1955-06-03
41526,Martin,Sarah,,,ch,1955-06-04,,Suisse,,1955-06-04
42945,Durand,Nadia,,,ch,1955-05-10,,Suisse,,1955-05-10
43091,Robert,Nadia,,,ch,1955-06-13,,Suisse,,1955-06-13
43689,Bernard,Jean,,,fr,1955-06-01,,France,,1955-06-01
43743,Dupont,Luc,,,fr,1955-06-06,,France,,1955-06-06
43778,Petit,Marie,,,France,1955-06-11,,France,,1955-06-11
43819,Robert,Jean,,,FR,1955-06-04,,France,,1955-06-04
44196,Robert,Louis,,,France,1955-06-26,,France,,1955-06-26
44480,Dupont,Luc,,,fr,1955-05-12,,France,,1955-05-12
44640,Moreau,Nadia,,,fr,1955-05-14,,France,,1955-05-14
44763,Durand,Jeanne,,,FR,1955-07-02,,France,,1955-07-02
44894,Durand,Marie,,,France,1955-05-16,,France,,1955-05-16
45064,Bernard,Jean,,,be,1955-05-28,,Belgique,,1955-05-28
45067,Bernard,Jean,,,FR,1955-05-06,,France,,1955-05-06
45369,Bernard,Jeanne,,,fr,1955-05-05,,France,,1955-05-05
45636,Petit,Jean,,,fr,1955-05-08,,France,,1955-05-08
45641,Martin,Luc,,,be,1955-05-15,,Belgique,,1955-05-15
45688,Moreau,Jean,,,be,1955-05-21,,Belgique,,1955-05-21
46015,Martin,Louis,,,ch,1955-05-11,,Suisse,,1955-05-11
46099,Petit,Marie,,,FR,1955-06-19,,France,,1955-06-19
46246,Dupont,Nadia,,,fr,1955-05-31,,France,,1955-05-31
46528,Durand,Jeanne,,,ch,1955-05-27,,Suisse,,1955-05-27
46606,Martin,Nadia,,,france,1955-06-18,,France,,1955-06-18
46620,Petit,Jean,,,fr,1955-06-12,,France,,1955-06-12
46652,Durand,Sarah,,,fr,1955-06-06,,France,,1955-06-06
46805,Petit,Marie,,,ch,1955-06-17,,Suisse,,1955-06-17
46893,Petit,Jean,,,fr,1955-05-09,,France,,1955-05-09
46913,Bernard,Louis,,,france,1955-06-17,,France,,1955-06-17
47074,Dupont,Marie,,,be,1955-06-03,,Belgique,,1955-06-03
47121,Robert,Paul,,,france,1955-06-13,,France,,1955-06-13
47206,Petit,Jean,,,france,1955-07-01,,France,,1955-07-01
47605,Durand,Jeanne,,,fr,1955-05-06,,France,,1955-05-06
47688,Robert,Louis,,,France,1955-05-07,,France,,1955-05-07
48143,Moreau,Marie,,,france,1955-05-20,,France,,1955-05-20
48181,Bernard,Sarah,,,ch,1955-06-15,,Suisse,,1955-06-15
48183,Martin,Jean,,,ch,1955-06-26,,Suisse,,1955-06-26
48406,Petit,Louis,,,ch,1955-06-25,,Suisse,,1955-06-25
48457,Robert,Sarah,,,be,1955-06-10,,Belgique,,1955-06-10
48514,Durand,Nadia,,,France,1955-05-17,,France,,1955-05-17
48655,Dupont,Jean,,,fr,1955-05-24,,France,,1955-05-24
48976,Petit,Sarah,,,ch,1955-05-28,,Suisse,,1955-05-28
49021,Durand,Jeanne,,,ch,1955-05-30,,Suisse,,1955-05-30
49464,Bernard,Marie,,,France,1955-05-07,,France,,1955-05-07
49830,Durand,Jeanne,,,FR,1955-06-16,,France,,1955-06-16
49929,Moreau,Marie,,,FR,1955-06-14,,France,,1955-06-14
