order_id,order_date,customer_email,amount,currency,channel,order_date_clean,amount_clean,currency_clean,customer_email_clean
O0031879,2025-01-12 10:00:00,user31878@mail.com,-0.26,EUR,store,2025-01-12 10:00:00,-0.26,EUR,user31878@mail.com
O0139890,2025-01-29 01:00:00,user139889@mail.com,-0.27,USD,store,2025-01-29 01:00:00,-0.27,USD,user139889@mail.com
O0150626,2025-01-26 10:00:00,user150625@mail.com,-0.27,USD,web,2025-01-26 10:00:00,-0.27,USD,user150625@mail.com
O0071316,2025-01-06 07:00:00,user71315@mail.com,-0.27,EUR,web,2025-01-06 07:00:00,-0.27,EUR,user71315@mail.com
O0157483,2025-01-30 04:00:00,user157482@mail.com,-0.27,€,mobile,2025-01-30 04:00:00,-0.27,EUR,user157482@mail.com
O0076584,2025-01-19 02:00:00,user76583@mail.com,-0.27,USD,mobile,2025-01-19 02:00:00,-0.27,USD,user76583@mail.com
O0046359,2025-01-26 20:00:00,user46358@mail.com,-0.28,EUR,web,2025-01-26 20:00:00,-0.28,EUR,user46358@mail.com
O0112051,2025-01-19 15:00:00,user112050@mail.com,-0.28,€,mobile,2025-01-19 15:00:00,-0.28,EUR,user112050@mail.com
O0017525,2025-01-25 12:00:00,user17524@mail.com,-0.3,EUR,web,2025-01-25 12:00:00,-0.3,EUR,user17524@mail.com
O0083152,2025-01-11 23:00:00,user83151@mail.com,-0.3,€,store,2025-01-11 23:00:00,-0.3,EUR,user83151@mail.com
O0113245,2025-01-28 08:00:00,user113244@mail.com,-0.3,USD,web,2025-01-28 08:00:00,-0.3,USD,user113244@mail.com
O0129076,2025-01-27 19:00:00,user129075@mail.com,-0.35,USD,web,2025-01-27 19:00:00,-0.35,USD,user129075@mail.com
O0154963,2025-01-13 17:00:00,user154962@mail.com,-0.36,USD,mobile,2025-01-13 17:00:00,-0.36,USD,user154962@mail.com
O0146176,2025-01-03 11:00:00,user146175@mail.com,-0.38,USD,web,2025-01-03 11:00:00,-0.38,USD,user146175@mail.com
O0153694,2025-01-20 02:00:00,user153693@mail.com,-0.4,€,mobile,2025-01-20 02:00:00,-0.4,EUR,user153693@mail.com
O0102443,2025-01-07 03:00:00,user102442@mail.com,-0.42,EUR,store,2025-01-07 03:00:00,-0.42,EUR,user102442@mail.com
O0090172,2025-01-25 11:00:00,user90171@mail.com,-0.42,USD,store,2025-01-25 11:00:00,-0.42,USD,user90171@mail.com
O0169668,2025-01-15 07:00:00,user169667@mail.com,-0.46,USD,web,2025-01-15 07:00:00,-0.46,USD,user169667@mail.com
O0096691,2025-01-29 10:00:00,user96690@mail.com,-0.49,€,store,2025-01-29 10:00:00,-0.49,EUR,user96690@mail.com
O0163745,2025-01-15 09:00:00,user163744@mail.com,-0.5,USD,mobile,2025-01-15 09:00:00,-0.5,USD,user163744@mail.com
O0176530,2025-01-15 16:00:00,user176529@mail.com,-0.51,€,web,2025-01-15 16:00:00,-0.51,EUR,user176529@mail.com
O0074414,2025-01-22 23:00:00,user74413@mail.com,-0.52,EUR,web,2025-01-22 23:00:00,-0.52,EUR,user74413@mail.com
O0199500,2025-01-08 18:00:00,user199499@mail.com,-0.53,€,web,2025-01-08 18:00:00,-0.53,EUR,user199499@mail.com
O0116091,2025-01-29 09:00:00,user116090@mail.com,-0.54,USD,mobile,2025-01-29 09:00:00,-0.54,USD,user116090@mail.com
O0029227,2025-01-29 14:00:00,user29226@mail.com,-0.54,EUR,web,2025-01-29 14:00:00,-0.54,EUR,user29226@mail.com
O0113336,2025-01-17 01:00:00,user113335@mail.com,-0.55,USD,web,2025-01-17 01:00:00,-0.55,USD,user113335@mail.com
O0101380,2025-01-17 14:00:00,user101379@mail.com,-0.56,€,web,2025-01-17 14:00:00,-0.56,EUR,user101379@mail.com
O0013905,2025-01-07 14:00:00,user13904@mail.com,-0.56,EUR,web,2025-01-07 14:00:00,-0.56,EUR,user13904@mail.com
O0196954,2025-01-09 23:00:00,user196953@mail.com,-0.59,USD,mobile,2025-01-09 23:00:00,-0.59,USD,user196953@mail.com
O0092243,2025-01-25 15:00:00,user92242@mail.com,-0.6,EUR,web,2025-01-25 15:00:00,-0.6,EUR,user92242@mail.com
O0022232,2025-01-13 02:00:00,user22231@mail.com,-0.62,€,mobile,2025-01-13 02:00:00,-0.62,EUR,user22231@mail.com
O0192272,2025-01-25 12:00:00,user192271@mail.com,-0.64,€,web,2025-01-25 12:00:00,-0.64,EUR,user192271@mail.com
O0015442,2025-01-13 02:00:00,user15441@mail.com,-0.64,EUR,store,2025-01-13 02:00:00,-0.64,EUR,user15441@mail.com
O0140926,2025-01-28 10:00:00,user140925@mail.com,-0.64,€,web,2025-01-28 10:00:00,-0.64,EUR,user140925@mail.com
O0003430,2025-01-20 07:00:00,user3429@mail.com,-0.67,EUR,mobile,2025-01-20 07:00:00,-0.67,EUR,user3429@mail.com
O0113929,2025-01-17 06:00:00,user113928@mail.com,-0.7,USD,web,2025-01-17 06:00:00,-0.7,USD,user113928@mail.com
O0065325,2025-01-20 08:00:00,user65324@mail.com,-0.7,€,store,2025-01-20 08:00:00,-0.7,EUR,user65324@mail.com
O0154896,2025-01-19 01:00:00,user154895@mail.com,-0.74,EUR,web,2025-01-19 01:00:00,-0.74,EUR,user154895@mail.com
O0004329,2025-01-21 15:00:00,user4328@mail.com,-0.76,EUR,store,2025-01-21 15:00:00,-0.76,EUR,user4328@mail.com
O0175449,2025-01-19 03:00:00,user175448@mail.com,-0.77,€,web,2025-01-19 03:00:00,-0.77,EUR,user175448@mail.com
O0194446,2025-01-24 06:00:00,user194445@mail.com,-0.79,€,mobile,2025-01-24 06:00:00,-0.79,EUR,user194445@mail.com
O0125228,2025-01-05 15:00:00,user125227@mail.com,-0.79,EUR,web,2025-01-05 15:00:00,-0.79,EUR,user125227@mail.com
O0189420,2025-01-29 21:00:00,user189419@mail.com,-0.81,EUR,web,2025-01-29 21:00:00,-0.81,EUR,user189419@mail.com
O0093655,2025-01-28 21:00:00,user93654@mail.com,-0.81,USD,web,2025-01-28 21:00:00,-0.81,USD,user93654@mail.com
O0021955,2025-01-15 23:00:00,user21954@mail.com,-0.89,USD,mobile,2025-01-15 23:00:00,-0.89,USD,user21954@mail.com
O0160278,2025-01-25 03:00:00,user160277@mail.com,-0.9,€,web,2025-01-25 03:00:00,-0.9,EUR,user160277@mail.com
O0179079,2025-01-13 15:00:00,user179078@mail.com,-0.95,EUR,web,2025-01-13 15:00:00,-0.95,EUR,user179078@mail.com
O0109282,2025-01-07 08:00:00,user109281@mail.com,-0.96,USD,mobile,2025-01-07 08:00:00,-0.96,USD,user109281@mail.com
O0126376,2025-01-01 07:00:00,user126375@mail.com,-0.99,USD,mobile,2025-01-01 07:00:00,-0.99,USD,user126375@mail.com
O0123749,2025-01-23 11:00:00,user123748@mail.com,-1.0,€,mobile,2025-01-23 11:00:00,-1.0,EUR,user123748@mail.com
O0187648,2025-01-09 17:00:00,user187647@mail.com,-1.01,USD,store,2025-01-09 17:00:00,-1.01,USD,user187647@mail.com
O0064811,2025-01-30 11:00:00,user64810@mail.com,-1.04,EUR,mobile,2025-01-30 11:00:00,-1.04,EUR,user64810@mail.com
O0025578,2025-01-15 16:00:00,user25577@mail.com,-1.05,USD,store,2025-01-15 16:00:00,-1.05,USD,user25577@mail.com
O0164884,2025-01-03 07:00:00,user164883@mail.com,-1.05,USD,store,2025-01-03 07:00:00,-1.05,USD,user164883@mail.com
O0074747,2025-01-18 19:00:00,user74746@mail.com,-1.09,USD,mobile,2025-01-18 19:00:00,-1.09,USD,user74746@mail.com
O0073641,2025-01-08 11:00:00,user73640@mail.com,-1.09,EUR,mobile,2025-01-08 11:00:00,-1.09,EUR,user73640@mail.com
O0118190,2025-01-16 04:00:00,user118189@mail.com,-1.1,EUR,mobile,2025-01-16 04:00:00,-1.1,EUR,user118189@mail.com
O0162026,2025-01-29 06:00:00,user162025@mail.com,-1.19,€,web,2025-01-29 06:00:00,-1.19,EUR,user162025@mail.com
O0154851,2025-01-13 01:00:00,user154850@mail.com,-1.19,€,store,2025-01-13 01:00:00,-1.19,EUR,user154850@mail.com
O0124613,2025-01-27 08:00:00,user124612@mail.com,-1.2,€,mobile,2025-01-27 08:00:00,-1.2,EUR,user124612@mail.com
O0051928,2025-01-17 17:00:00,user51927@mail.com,-1.22,USD,web,2025-01-17 17:00:00,-1.22,USD,user51927@mail.com
O0175834,2025-01-19 01:00:00,user175833@mail.com,-1.27,€,store,2025-01-19 01:00:00,-1.27,EUR,user175833@mail.com
O0127578,2025-01-25 20:00:00,user127577@mail.com,-1.28,USD,web,2025-01-25 20:00:00,-1.28,USD,user127577@mail.com
O0168945,2025-01-24 23:00:00,user168944@mail.com,-1.29,EUR,web,2025-01-24 23:00:00,-1.29,EUR,user168944@mail.com
O0179913,2025-01-09 07:00:00,user179912@mail.com,-1.3,USD,mobile,2025-01-09 07:00:00,-1.3,USD,user179912@mail.com
O0142901,2025-01-24 10:00:00,user142900@mail.com,-1.3,EUR,mobile,2025-01-24 10:00:00,-1.3,EUR,user142900@mail.com
O0199426,2025-01-17 01:00:00,user199425@mail.com,-1.31,USD,mobile,2025-01-17 01:00:00,-1.31,USD,user199425@mail.com
O0041049,2025-01-16 00:00:00,user41048@mail.com,-1.34,USD,store,2025-01-16 00:00:00,-1.34,USD,user41048@mail.com
O0184516,2025-01-07 13:00:00,user184515@mail.com,-1.35,€,store,2025-01-07 13:00:00,-1.35,EUR,user184515@mail.com
O0113001,2025-01-27 10:00:00,user113000@mail.com,-1.38,€,mobile,2025-01-27 10:00:00,-1.38,EUR,user113000@mail.com
O0155043,2025-01-13 21:00:00,user155042@mail.com,-1.4,€,mobile,2025-01-13 21:00:00,-1.4,EUR,user155042@mail.com
O0165211,2025-01-21 06:00:00,user165210@mail.com,-1.41,€,store,2025-01-21 06:00:00,-1.41,EUR,user165210@mail.com
O0110218,2025-01-16 22:00:00,user110217@mail.com,-1.44,USD,web,2025-01-16 22:00:00,-1.44,USD,user110217@mail.com
O0011739,2025-01-08 07:00:00,user11738@mail.com,-1.45,€,mobile,2025-01-08 07:00:00,-1.45,EUR,user11738@mail.com
O0114679,2025-01-20 05:00:00,user114678@mail.com,-1.46,EUR,mobile,2025-01-20 05:00:00,-1.46,EUR,user114678@mail.com
O0105748,2025-01-24 20:00:00,user105747@mail.com,-1.47,EUR,store,2025-01-24 20:00:00,-1.47,EUR,user105747@mail.com
O0030730,2025-01-26 10:00:00,user30729@mail.com,-1.48,USD,store,2025-01-26 10:00:00,-1.48,USD,user30729@mail.com
O0153868,2025-01-02 06:00:00,user153867@mail.com,-1.49,EUR,mobile,2025-01-02 06:00:00,-1.49,EUR,user153867@mail.com
O0052229,2025-01-13 16:00:00,user52228@mail.com,-1.5,USD,store,2025-01-13 16:00:00,-1.5,USD,user52228@mail.com
O0076015,2025-01-28 08:00:00,user76014@mail.com,-1.5,EUR,mobile,2025-01-28 08:00:00,-1.5,EUR,user76014@mail.com
O0130965,2025-01-24 10:00:00,user130964@mail.com,-1.52,USD,mobile,2025-01-24 10:00:00,-1.52,USD,user130964@mail.com
O0157702,2025-01-09 17:00:00,user157701@mail.com,-1.53,€,mobile,2025-01-09 17:00:00,-1.53,EUR,user157701@mail.com
O0176433,2025-01-01 12:00:00,user176432@mail.com,-1.53,USD,store,2025-01-01 12:00:00,-1.53,USD,user176432@mail.com
O0113750,2025-01-24 04:00:00,user113749@mail.com,-1.58,USD,web,2025-01-24 04:00:00,-1.58,USD,user113749@mail.com
O0068096,2025-01-26 15:00:00,user68095@mail.com,-1.59,EUR,store,2025-01-26 15:00:00,-1.59,EUR,user68095@mail.com
O0193948,2025-01-07 09:00:00,user193947@mail.com,-1.59,€,web,2025-01-07 09:00:00,-1.59,EUR,user193947@mail.com
O0165551,2025-01-30 21:00:00,user165550@mail.com,-1.61,USD,web,2025-01-30 21:00:00,-1.61,USD,user165550@mail.com
O0065943,2025-01-30 02:00:00,user65942@mail.com,-1.62,€,store,2025-01-30 02:00:00,-1.62,EUR,user65942@mail.com
O0029040,2025-01-04 02:00:00,user29039@mail.com,-1.64,€,store,2025-01-04 02:00:00,-1.64,EUR,user29039@mail.com
O0071185,2025-01-05 20:00:00,user71184@mail.com,-1.69,€,web,2025-01-05 20:00:00,-1.69,EUR,user71184@mail.com
O0186229,2025-01-17 19:00:00,user186228@mail.com,-1.72,USD,web,2025-01-17 19:00:00,-1.72,USD,user186228@mail.com
O0066053,2025-01-03 18:00:00,user66052@mail.com,-1.72,EUR,mobile,2025-01-03 18:00:00,-1.72,EUR,user66052@mail.com
O0167070,2025-01-13 02:00:00,user167069@mail.com,-1.72,EUR,store,2025-01-13 02:00:00,-1.72,EUR,user167069@mail.com
O0150683,2025-01-09 14:00:00,user150682@mail.com,-1.77,EUR,store,2025-01-09 14:00:00,-1.77,EUR,user150682@mail.com
O0162473,2025-01-21 08:00:00,user162472@mail.com,-1.78,€,web,2025-01-21 08:00:00,-1.78,EUR,user162472@mail.com
O0140039,2025-01-14 17:00:00,user140038@mail.com,-1.79,EUR,store,2025-01-14 17:00:00,-1.79,EUR,user140038@mail.com
O0005823,2025-01-13 15:00:00,user5822@mail.com,-1.81,EUR,store,2025-01-13 15:00:00,-1.81,EUR,user5822@mail.com
O0165533,2025-01-23 03:00:00,user165532@mail.com,-1.81,€,store,2025-01-23 03:00:00,-1.81,EUR,user165532@mail.com
O0010989,2025-01-27 22:00:00,user10988@mail.com,-1.82,€,web,2025-01-27 22:00:00,-1.82,EUR,user10988@mail.com
O0069666,2025-01-10 04:00:00,user69665@mail.com,-1.82,USD,web,2025-01-10 04:00:00,-1.82,USD,user69665@mail.com
O0004965,2025-01-14 18:00:00,user4964@mail.com,-1.82,USD,web,2025-01-14 18:00:00,-1.82,USD,user4964@mail.com
O0132118,2025-01-14 17:00:00,user132117@mail.com,-1.84,€,store,2025-01-14 17:00:00,-1.84,EUR,user132117@mail.com
O0118965,2025-01-11 10:00:00,user118964@mail.com,-1.85,USD,store,2025-01-11 10:00:00,-1.85,USD,user118964@mail.com
O0190970,2025-01-15 01:00:00,user190969@mail.com,-1.89,EUR,web,2025-01-15 01:00:00,-1.89,EUR,user190969@mail.com
O0054915,2025-01-22 06:00:00,user54914@mail.com,-1.89,USD,store,2025-01-22 06:00:00,-1.89,USD,user54914@mail.com
O0054857,2025-01-22 09:00:00,user54856@mail.com,-1.89,EUR,web,2025-01-22 09:00:00,-1.89,EUR,user54856@mail.com
O0051460,2025-01-22 08:00:00,user51459@mail.com,-1.9,€,mobile,2025-01-22 08:00:00,-1.9,EUR,user51459@mail.com
O0131759,2025-01-27 03:00:00,user131758@mail.com,-1.91,€,web,2025-01-27 03:00:00,-1.91,EUR,user131758@mail.com
O0102248,2025-01-22 06:00:00,user102247@mail.com,-1.92,EUR,web,2025-01-22 06:00:00,-1.92,EUR,user102247@mail.com
O0168560,2025-01-04 18:00:00,user168559@mail.com,-1.93,USD,store,2025-01-04 18:00:00,-1.93,USD,user168559@mail.com
O0167035,2025-01-13 11:00:00,user167034@mail.com,-1.94,USD,mobile,2025-01-13 11:00:00,-1.94,USD,user167034@mail.com
O0193860,2025-01-05 13:00:00,user193859@mail.com,-1.94,EUR,web,2025-01-05 13:00:00,-1.94,EUR,user193859@mail.com
O0174372,2025-01-24 18:00:00,user174371@mail.com,-2.01,EUR,mobile,2025-01-24 18:00:00,-2.01,EUR,user174371@mail.com
O0088271,2025-01-08 17:00:00,user88270@mail.com,-2.01,USD,web,2025-01-08 17:00:00,-2.01,USD,user88270@mail.com
O0008512,2025-01-12 13:00:00,user8511@mail.com,-2.02,EUR,mobile,2025-01-12 13:00:00,-2.02,EUR,user8511@mail.com
O0074664,2025-01-10 01:00:00,user74663@mail.com,-2.05,USD,store,2025-01-10 01:00:00,-2.05,USD,user74663@mail.com
O0155798,2025-01-23 20:00:00,user155797@mail.com,-2.06,EUR,mobile,2025-01-23 20:00:00,-2.06,EUR,user155797@mail.com
O0185948,2025-01-13 13:00:00,user185947@mail.com,-2.07,€,store,2025-01-13 13:00:00,-2.07,EUR,user185947@mail.com
O0040897,2025-01-04 01:00:00,user40896@mail.com,-2.12,EUR,mobile,2025-01-04 01:00:00,-2.12,EUR,user40896@mail.com
O0139710,2025-01-27 10:00:00,user139709@mail.com,-2.12,EUR,mobile,2025-01-27 10:00:00,-2.12,EUR,user139709@mail.com
O0150203,2025-01-21 11:00:00,user150202@mail.com,-2.16,€,web,2025-01-21 11:00:00,-2.16,EUR,user150202@mail.com
O0134528,2025-01-26 21:00:00,user134527@mail.com,-2.19,€,mobile,2025-01-26 21:00:00,-2.19,EUR,user134527@mail.com
O0149612,2025-01-12 21:00:00,user149611@mail.com,-2.2,USD,web,2025-01-12 21:00:00,-2.2,USD,user149611@mail.com
O0105786,2025-01-24 10:00:00,user105785@mail.com,-2.23,EUR,web,2025-01-24 10:00:00,-2.23,EUR,user105785@mail.com
O0016451,2025-01-27 20:00:00,user16450@mail.com,-2.24,€,mobile,2025-01-27 20:00:00,-2.24,EUR,user16450@mail.com
O0139925,2025-01-16 04:00:00,user139924@mail.com,-2.25,EUR,web,2025-01-16 04:00:00,-2.25,EUR,user139924@mail.com
O0106242,2025-01-18 16:00:00,user106241@mail.com,-2.35,€,mobile,2025-01-18 16:00:00,-2.35,EUR,user106241@mail.com
O0196178,2025-01-05 01:00:00,user196177@mail.com,-2.39,€,web,2025-01-05 01:00:00,-2.39,EUR,user196177@mail.com
O0139216,2025-01-04 22:00:00,user139215@mail.com,-2.39,USD,web,2025-01-04 22:00:00,-2.39,USD,user139215@mail.com
O0117152,2025-01-21 04:00:00,user117151@mail.com,-2.42,€,mobile,2025-01-21 04:00:00,-2.42,EUR,user117151@mail.com
O0188223,2025-01-22 03:00:00,user188222@mail.com,-2.42,EUR,store,2025-01-22 03:00:00,-2.42,EUR,user188222@mail.com
O0021737,2025-01-16 13:00:00,user21736@mail.com,-2.47,USD,web,2025-01-16 13:00:00,-2.47,USD,user21736@mail.com
O0001113,2025-01-19 17:00:00,user1112@mail.com,-2.48,USD,web,2025-01-19 17:00:00,-2.48,USD,user1112@mail.com
O0096085,2025-01-01 19:00:00,user96084@mail.com,-2.48,€,store,2025-01-01 19:00:00,-2.48,EUR,user96084@mail.com
O0002992,2025-01-20 08:00:00,user2991@mail.com,-2.49,€,mobile,2025-01-20 08:00:00,-2.49,EUR,user2991@mail.com
O0064877,2025-01-06 15:00:00,user64876@mail.com,-2.53,EUR,web,2025-01-06 15:00:00,-2.53,EUR,user64876@mail.com
O0145887,2025-01-12 03:00:00,user145886@mail.com,-2.53,EUR,web,2025-01-12 03:00:00,-2.53,EUR,user145886@mail.com
O0145376,2025-01-06 08:00:00,user145375@mail.com,-2.56,USD,web,2025-01-06 08:00:00,-2.56,USD,user145375@mail.com
O0185008,2025-01-07 00:00:00,user185007@mail.com,-2.58,USD,store,2025-01-07 00:00:00,-2.58,USD,user185007@mail.com
O0181928,2025-01-10 14:00:00,user181927@mail.com,-2.59,USD,mobile,2025-01-10 14:00:00,-2.59,USD,user181927@mail.com
O0145497,2025-01-09 08:00:00,user145496@mail.com,-2.61,EUR,web,2025-01-09 08:00:00,-2.61,EUR,user145496@mail.com
O0113939,2025-01-06 07:00:00,user113938@mail.com,-2.62,USD,store,2025-01-06 07:00:00,-2.62,USD,user113938@mail.com
O0165782,2025-01-18 23:00:00,user165781@mail.com,-2.65,USD,store,2025-01-18 23:00:00,-2.65,USD,user165781@mail.com
O0178518,2025-01-02 10:00:00,user178517@mail.com,-2.67,USD,web,2025-01-02 10:00:00,-2.67,USD,user178517@mail.com
O0007080,2025-01-04 22:00:00,user7079@mail.com,-2.7,€,web,2025-01-04 22:00:00,-2.7,EUR,user7079@mail.com
O0041095,2025-01-27 09:00:00,user41094@mail.com,-2.71,€,mobile,2025-01-27 09:00:00,-2.71,EUR,user41094@mail.com
O0148155,2025-01-24 09:00:00,user148154@mail.com,-2.74,EUR,store,2025-01-24 09:00:00,-2.74,EUR,user148154@mail.com
O0134887,2025-01-05 04:00:00,user134886@mail.com,-2.75,EUR,store,2025-01-05 04:00:00,-2.75,EUR,user134886@mail.com
O0180265,2025-01-27 22:00:00,user180264@mail.com,-2.75,EUR,mobile,2025-01-27 22:00:00,-2.75,EUR,user180264@mail.com
O0198884,2025-01-29 18:00:00,user198883@mail.com,-2.76,EUR,mobile,2025-01-29 18:00:00,-2.76,EUR,user198883@mail.com
O0195569,2025-01-19 04:00:00,user195568@mail.com,-2.8,EUR,web,2025-01-19 04:00:00,-2.8,EUR,user195568@mail.com
O0199234,2025-01-06 01:00:00,user199233@mail.com,-2.82,USD,mobile,2025-01-06 01:00:00,-2.82,USD,user199233@mail.com
O0018120,2025-01-30 20:00:00,user18119@mail.com,-2.83,€,store,2025-01-30 20:00:00,-2.83,EUR,user18119@mail.com
O0005466,2025-01-30 02:00:00,user5465@mail.com,-2.85,USD,web,2025-01-30 02:00:00,-2.85,USD,user5465@mail.com
O0142922,2025-01-15 07:00:00,user142921@mail.com,-2.86,€,mobile,2025-01-15 07:00:00,-2.86,EUR,user142921@mail.com
O0101514,2025-01-26 18:00:00,user101513@mail.com,-2.86,USD,mobile,2025-01-26 18:00:00,-2.86,USD,user101513@mail.com
O0061424,2025-01-23 14:00:00,user61423@mail.com,-2.88,€,mobile,2025-01-23 14:00:00,-2.88,EUR,user61423@mail.com
O0106899,2025-01-24 15:00:00,user106898@mail.com,-2.88,USD,mobile,2025-01-24 15:00:00,-2.88,USD,user106898@mail.com
O0195299,2025-01-16 10:00:00,user195298@mail.com,-2.9,EUR,store,2025-01-16 10:00:00,-2.9,EUR,user195298@mail.com
O0063109,2025-01-05 11:00:00,user63108@mail.com,-2.9,€,mobile,2025-01-05 11:00:00,-2.9,EUR,user63108@mail.com
O0078976,2025-01-06 23:00:00,user78975@mail.com,-2.91,USD,store,2025-01-06 23:00:00,-2.91,USD,user78975@mail.com
O0131835,2025-01-21 10:00:00,user131834@mail.com,-2.92,USD,store,2025-01-21 10:00:00,-2.92,USD,user131834@mail.com
O0164971,2025-01-01 18:00:00,user164970@mail.com,-2.94,USD,mobile,2025-01-01 18:00:00,-2.94,USD,user164970@mail.com
O0104616,2025-01-17 15:00:00,user104615@mail.com,-2.95,€,web,2025-01-17 15:00:00,-2.95,EUR,user104615@mail.com
O0182122,2025-01-02 10:00:00,user182121@mail.com,-2.95,EUR,mobile,2025-01-02 10:00:00,-2.95,EUR,user182121@mail.com
O0063983,2025-01-09 12:00:00,user63982@mail.com,-2.97,USD,mobile,2025-01-09 12:00:00,-2.97,USD,user63982@mail.com
O0052235,2025-01-26 14:00:00,user52234@mail.com,-3.0,€,store,2025-01-26 14:00:00,-3.0,EUR,user52234@mail.com
O0051156,2025-01-12 00:00:00,user51155@mail.com,-3.0,EUR,store,2025-01-12 00:00:00,-3.0,EUR,user51155@mail.com
O0075386,2025-01-11 05:00:00,user75385@mail.com,-3.01,€,store,2025-01-11 05:00:00,-3.01,EUR,user75385@mail.com
O0116732,2025-01-06 08:00:00,user116731@mail.com,-3.02,EUR,store,2025-01-06 08:00:00,-3.02,EUR,user116731@mail.com
O0048983,2025-01-28 03:00:00,user48982@mail.com,-3.03,EUR,mobile,2025-01-28 03:00:00,-3.03,EUR,user48982@mail.com
O0005797,2025-01-14 17:00:00,user5796@mail.com,-3.04,€,web,2025-01-14 17:00:00,-3.04,EUR,user5796@mail.com
O0171860,2025-01-22 03:00:00,user171859@mail.com,-3.04,EUR,web,2025-01-22 03:00:00,-3.04,EUR,user171859@mail.com
O0139048,2025-01-27 08:00:00,user139047@mail.com,-3.04,EUR,mobile,2025-01-27 08:00:00,-3.04,EUR,user139047@mail.com
O0066082,2025-01-06 09:00:00,user66081@mail.com,-3.06,EUR,store,2025-01-06 09:00:00,-3.06,EUR,user66081@mail.com
O0144661,2025-01-02 10:00:00,user144660@mail.com,-3.08,€,mobile,2025-01-02 10:00:00,-3.08,EUR,user144660@mail.com
O0015765,2025-01-18 19:00:00,user15764@mail.com,-3.11,USD,mobile,2025-01-18 19:00:00,-3.11,USD,user15764@mail.com
O0121593,2025-01-30 10:00:00,user121592@mail.com,-3.12,€,store,2025-01-30 10:00:00,-3.12,EUR,user121592@mail.com
O0053800,2025-01-12 08:00:00,user53799@mail.com,-3.13,€,mobile,2025-01-12 08:00:00,-3.13,EUR,user53799@mail.com
O0007921,2025-01-02 01:00:00,user7920@mail.com,-3.13,USD,mobile,2025-01-02 01:00:00,-3.13,USD,user7920@mail.com
O0172233,2025-01-24 13:00:00,user172232@mail.com,-3.16,EUR,mobile,2025-01-24 13:00:00,-3.16,EUR,user172232@mail.com
O0118886,2025-01-19 12:00:00,user118885@mail.com,-3.2,EUR,store,2025-01-19 12:00:00,-3.2,EUR,user118885@mail.com
O0069564,2025-01-03 14:00:00,user69563@mail.com,-3.2,€,web,2025-01-03 14:00:00,-3.2,EUR,user69563@mail.com
O0053392,2025-01-09 16:00:00,user53391@mail.com,-3.21,USD,mobile,2025-01-09 16:00:00,-3.21,USD,user53391@mail.com
O0043739,2025-01-14 20:00:00,user43738@mail.com,-3.22,€,web,2025-01-14 20:00:00,-3.22,EUR,user43738@mail.com
